943.125 1213.125 931.1796851981799,849.375 988.125 556.0471197561423,830.625 725.625 130.90927446358305,840.0 735.0 0,849.375 744.375 -130.90927446358305,774.375 988.125 -560.9801261845524,755.625 1231.875 -935.6438142504292
943.125 1213.125 931.3695408399669,849.375 969.375 568.140440745929,849.375 725.625 131.57894736842104,849.375 725.625 0,849.375 725.625 -131.57894736842104,774.375 988.125 -550.468849371322,774.375 1231.875 -925.6014148133596
924.375 1213.125 938.6289360827373,868.125 969.375 567.7376054276185,849.375 725.625 131.57894736842104,849.375 725.625 0,849.375 725.625 -131.57894736842104,774.375 969.375 -561.6497990893904,811.875 1231.875 -921.9635570214525
924.375 1213.125 938.6973620735743,868.125 969.375 567.8060314184555,868.125 725.625 131.2445380409475,858.75 725.625 0,849.375 725.625 -131.2445380409475,774.375 969.375 -561.3153897619169,849.375 1231.875 -915.7265269389596
905.625 1213.125 940.724289800529,868.125 969.375 567.4707678410911,868.125 725.625 130.90927446358305,858.75 735.0 0,849.375 744.375 -130.90927446358305,774.375 969.375 -571.0796960050583,868.125 1231.875 -920.9985318157711
886.875 1213.125 951.3467468151528,849.375 969.375 578.0932248557149,849.375 744.375 131.57894736842104,849.375 744.375 0,849.375 744.375 -131.57894736842104,774.375 988.125 -561.6497990893904,905.625 1231.875 -913.0724494053948
886.875 1194.375 956.6913495069495,811.875 969.375 577.3649674095205,830.625 744.375 131.2445380409475,840.0 744.375 0,849.375 744.375 -131.2445380409475,793.125 969.375 -574.2015760254455,924.375 1213.125 -925.6242263414499
868.125 1194.375 949.9596516137392,811.875 969.375 567.403196100145,830.625 725.625 131.2445380409475,840.0 725.625 0,849.375 725.625 -131.2445380409475,793.125 969.375 -564.1670195546707,961.875 1213.125 -899.2011658071453
868.125 1213.125 944.425822267243,793.125 988.125 565.0994401698141,793.125 744.375 128.5379467923061,821.25 744.375 0,849.375 744.375 -128.5379467923061,811.875 988.125 -563.4858603405837,1018.125 1213.125 -890.5553356132307
849.375 1213.125 938.3437269308176,793.125 988.125 555.7872714172233,793.125 725.625 130.23615815349328,811.875 725.625 0,830.625 725.625 -130.23615815349328,811.875 969.375 -566.3948162126908,1018.125 1194.375 -893.4642914853378
849.375 1213.125 932.6581996289306,774.375 969.375 565.0994401698141,774.375 725.625 128.5379467923061,802.5 725.625 0,830.625 725.625 -128.5379467923061,830.625 969.375 -565.0994401698141,1036.875 1194.375 -892.1689154424611
830.625 1213.125 930.5862690424357,755.625 988.125 551.2598869450068,774.375 725.625 126.12204165244755,811.875 725.625 0,849.375 725.625 -126.12204165244755,849.375 988.125 -551.6731549161776,1055.625 1213.125 -878.7426301888246
811.875 1213.125 944.4882377511381,755.625 988.125 561.9317822375438,774.375 744.375 125.77312417834628,811.875 735.0 0,849.375 725.625 -125.77312417834628,868.125 988.125 -550.9109694709055,1055.625 1213.125 -889.0784637028682
811.875 1213.125 944.8371552252393,755.625 988.125 562.2806997116451,774.375 744.375 126.12204165244755,811.875 744.375 0,849.375 744.375 -126.12204165244755,886.875 988.125 -561.0699552007252,1055.625 1231.875 -896.1041014532
793.125 1231.875 931.9612858558439,736.875 988.125 561.0699552007252,774.375 744.375 126.12204165244755,811.875 744.375 0,849.375 744.375 -126.12204165244755,886.875 988.125 -561.0699552007252,1055.625 1231.875 -896.1041014532
774.375 1213.125 943.9518527243829,736.875 988.125 559.1047997863038,755.625 744.375 122.94614172710632,802.5 744.375 0,849.375 744.375 -122.94614172710632,905.625 1006.875 -544.7632673870302,1036.875 1250.625 -896.1859177030344
755.625 1213.125 945.3196903008004,736.875 988.125 559.1047997863038,755.625 744.375 122.94614172710632,802.5 744.375 0,849.375 744.375 -122.94614172710632,886.875 1006.875 -546.8417656724356,1036.875 1250.625 -890.6795786818901
755.625 1231.875 931.1475772348219,718.125 988.125 557.894055275384,755.625 744.375 122.94614172710632,802.5 744.375 0,849.375 744.375 -122.94614172710632,886.875 1006.875 -546.8417656724356,1018.125 1250.625 -898.2644159884399
736.875 1213.125 940.1121919997524,718.125 988.125 553.8973014852558,755.625 744.375 118.94938793697811,811.875 744.375 0,868.125 744.375 -118.94938793697811,886.875 1006.875 -544.0872332295373,999.375 1269.375 -888.4358997800623
718.125 1213.125 941.7778071039259,718.125 988.125 555.1080459961756,736.875 744.375 118.94938793697811,793.125 744.375 0,849.375 744.375 -118.94938793697811,886.875 1006.875 -542.8450118823074,980.625 1269.375 -892.7638476930202
699.375 1213.125 940.567062593006,699.375 988.125 553.8973014852558,736.875 744.375 118.94938793697811,793.125 744.375 0,849.375 744.375 -118.94938793697811,868.125 1006.875 -544.0872332295373,961.875 1269.375 -894.0060690402502
680.625 1213.125 935.6631864729412,680.625 988.125 548.993425365191,718.125 744.375 114.04551181691332,783.75 744.375 0,849.375 744.375 -114.04551181691332,868.125 1006.875 -539.1833571094725,943.125 1269.375 -893.5944942865152
661.875 1213.125 933.6377544383868,661.875 988.125 546.9679933306365,718.125 744.375 114.04551181691332,783.75 744.375 0,849.375 744.375 -114.04551181691332,849.375 1025.625 -527.4441541707556,924.375 1269.375 -895.0029136298721
661.875 1213.125 927.248515721096,643.125 988.125 541.0336252065994,699.375 744.375 108.11114369287615,774.375 744.375 0,849.375 744.375 -108.11114369287615,849.375 1025.625 -521.5097860467184,905.625 1269.375 -892.4011167018372
661.875 1213.125 925.8806781446784,624.375 988.125 541.0336252065994,680.625 744.375 108.11114369287615,755.625 744.375 0,830.625 744.375 -108.11114369287615,830.625 1025.625 -521.5097860467184,886.875 1269.375 -892.4011167018372
661.875 1213.125 920.7384509274398,605.625 988.125 538.1819954138455,680.625 744.375 108.11114369287615,755.625 744.375 0,830.625 744.375 -108.11114369287615,811.875 1025.625 -521.0843571099209,886.875 1269.375 -888.6431165690374
661.875 1213.125 922.5036898788966,605.625 1006.875 529.5210195801611,661.875 744.375 107.70389392023723,736.875 735.0 0,811.875 725.625 -107.70389392023723,811.875 1025.625 -507.70389392023725,868.125 1250.625 -890.2603494338315
661.875 1213.125 910.6476871267585,605.625 1006.875 517.665016828023,661.875 725.625 108.11114369287615,736.875 725.625 0,811.875 725.625 -108.11114369287615,793.125 1025.625 -507.6714489034914,849.375 1269.375 -878.5627795586101
643.125 1213.125 916.8538205762844,605.625 988.125 532.0067676382054,643.125 725.625 108.11114369287615,718.125 725.625 0,793.125 725.625 -108.11114369287615,793.125 1025.625 -508.11114369287617,830.625 1250.625 -892.9581966309552
643.125 1231.875 898.7850065646728,605.625 1006.875 513.9379536265938,624.375 725.625 100.96474020954896,708.75 725.625 0,793.125 725.625 -100.96474020954896,793.125 1025.625 -500.96474020954895,830.625 1250.625 -885.811793147628
643.125 1250.625 894.3378790693589,605.625 1006.875 521.0843571099209,624.375 725.625 108.11114369287615,699.375 725.625 0,774.375 725.625 -108.11114369287615,774.375 1006.875 -521.5097860467184,811.875 1250.625 -894.7633080061564
643.125 1269.375 860.8423018416488,605.625 1006.875 500.52854390958674,605.625 706.875 100.52854390958676,690.0 716.25 0,774.375 725.625 -100.52854390958676,774.375 1006.875 -513.927186263429,793.125 1250.625 -888.5908743293057
